Country,Rank,Average Score,Safety & Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Market Access & Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
Côte d'Ivoire,120,48.59,60.65,55.05,43.91,43.17,42.37,49.81,42.29,47.48,54.32,51.81,37.15,55.1
São Tomé and Príncipe,87,57.09,79.74,69.6,51.43,52.89,49.05,54.85,42.38,50.57,60.41,70.54,48.95,54.62
