Country,Rank,Average Score,Safety & Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Market Access & Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
Georgia,53,61.82,71.43,59.68,56.01,49.25,65.34,60.24,63.49,49.17,72.78,72.76,71.16,50.48
China,54,61.49,68.16,21.23,44.95,57.6,62.51,65.77,67.16,68.77,81.19,82.85,70.55,47.17
Armenia,55,61.41,73.64,56.91,49.91,52.24,61.88,61.71,57.24,46.57,77.17,74.92,70.24,54.44
Bahrain,56,61.31,64.3,25.9,42.65,64.38,67.61,66.43,69.59,54.65,87.44,76,68.4,48.37
Indonesia,57,61.1,69.22,49.71,53.77,73.82,59.83,58.45,58.68,55.87,66.68,70.19,60.56,56.47
Kuwait,58,61.02,73.33,41.01,44,59.28,56.16,57.02,63.03,61.08,88.66,75.89,63.62,49.12
Macedonia,59,61.01,74.43,55.17,51.73,48.08,60.75,56.26,59.47,49.41,83.7,74.96,61.48,56.74
Trinidad and Tobago,60,60.7,68.72,67.78,52.58,51.32,52.43,47.99,61.32,53.49,82.58,73.71,65.8,50.72
Peru,61,60.67,67.79,62.97,49.34,43.2,58.84,56.87,57.82,54.18,68.79,75.94,67.39,64.86
Kazakhstan,62,60.57,68.79,34.75,46.11,60.88,60.65,55.14,57.16,57.15,82.48,73.9,78.28,51.61
Argentina,63,60.49,69.14,74.24,54.18,48.08,53.71,46.64,53.76,37.5,80.32,77.05,72.44,58.79
Thailand,64,60.41,58.44,40.52,43.33,63.18,61.09,56.28,64.51,66.13,77.77,79.18,64.28,50.23
Jamaica,65,59.94,59.53,70.9,55.05,49.5,58.94,58.41,57.8,43.69,79.56,76.21,62.87,46.8
Oman,66,59.68,81.06,28.35,44.86,59.67,60.14,61.8,66.71,49.34,80.03,75.25,63.48,45.53
Albania,67,59.57,72.54,55.6,49.16,43.93,55.24,54.78,61.92,43.63,75.36,73.38,71.17,58.18
Mexico,68,59.53,43.8,59.15,45.34,50.1,59.07,57.04,66.94,61.71,74.36,75.81,65.14,55.86
Belarus,69,59.33,72.91,34.49,39.76,48.22,51.63,53.04,58.13,57.74,86.6,73.25,80.73,55.52
Brazil,70,59.31,61.65,63.13,49.62,48.42,56.95,47.74,53.56,46.5,80.76,74.84,60.07,68.46
Saudi Arabia,71,59.01,63.34,20.82,44.67,57.44,58.98,66.1,68.11,57.25,81.21,74.33,67.77,48.13
Dominican Republic,72,58.7,60.92,63.62,45.25,53.31,54,52.66,59.76,52.03,73.88,73.77,56.53,58.74
Vietnam,73,58.28,66.26,34.12,42.72,67.4,46.01,55.3,61.89,57,72.87,76.43,66.07,53.24
Colombia,74,58.19,37.76,58.04,48.49,50.05,58.04,52.89,59.73,50.65,75.01,78.91,64.17,64.56
Cabo Verde,75,58.17,80.46,69.75,58.75,53.77,45.39,52.46,41.69,41.78,67.78,72.3,55.79,58.12
Russia,76,58.04,50.8,32.21,43.12,50.23,54.64,53.8,61.84,60.52,81.58,69.31,82.7,55.71
Bosnia and Herzegovina,77,58,77.98,53.15,40.95,52.12,53.25,39.85,56.82,49.61,84.48,71.52,65.2,51.06
Azerbaijan,78,57.69,67.82,29.54,41.3,53.16,61.79,66.05,57.47,48.56,79.08,75.48,64.44,47.59
Paraguay,79,57.47,71.67,56.54,44.56,53.27,53.22,44.33,50.71,50.13,76.96,72.32,51.3,64.61
Moldova,80,57.13,70.41,51.48,46.29,47.71,54.08,50.9,57.94,44.07,76.26,69.78,69.41,47.2
Suriname,81,57.11,74.67,62.82,43.19,53.51,36.39,48.75,54.09,45.56,76.74,67.86,53.31,68.37
Botswana,82,57.09,69.3,60.63,59.64,50,57.63,54.95,47.08,58.36,62.68,62.47,53.78,48.61
Philippines,83,56.9,43.12,56.44,46.7,60.36,54.18,54.97,57.83,60.26,62.13,68.73,62.26,55.83
Sri Lanka,84,56.88,55.25,54.38,47.14,59.97,47.14,57.42,51.51,42.74,65.76,76.61,67.08,57.58
Mongolia,85,56.73,73.82,59.15,51.82,54.2,47.72,50.41,41.36,45.39,66.45,69.33,70.7,50.46
Jordan,86,56.59,67.87,38.42,48.29,49.52,61.31,62.51,57.6,39.56,80.36,73,56.42,44.21
South Africa,87,56.43,52.11,68.27,57.19,53.49,58.45,57.85,56.32,51.13,65.83,59.58,51.12,45.84
Namibia,88,56.16,74.76,63,58.87,51.46,53.71,56.27,50.86,42.87,57.17,60.9,47.67,56.4
Ecuador,89,56.12,69.08,57.97,41.38,45.2,49.57,46.11,54.73,39.91,71.39,74.22,64.22,59.63
Kyrgyzstan,90,55.99,72.24,48.88,43.46,53.2,50.34,48.18,43.49,46,72.73,73.39,63.25,56.75
Guyana,91,55.87,67.23,59.61,47.5,52.05,49.23,48.88,46.77,42.92,74.68,64.07,58.95,58.56
Ukraine,92,55.73,46.86,53.51,47.96,43.91,44.51,55.46,57.59,46.2,78.46,65.41,77.79,51.15
El Salvador,93,54.99,57.82,58.87,47.5,50.84,52.22,52.67,57.04,46.45,71.17,70.75,50.78,43.79
Turkey,94,54.94,43.69,26.51,38.9,44.63,60.77,58.27,64.38,51.01,83.35,74.13,60.55,53.11
Belize,95,54.92,68.81,61.14,44.26,45.74,40.43,47.04,51.43,40.83,73.4,71.37,55.65,58.91
Morocco,96,54.86,72.97,39.44,44.88,37.48,59,57.78,62.8,45.31,71.03,68.51,49.81,49.38
Uzbekistan,97,54.37,76.56,30.35,34.4,65.08,51.99,47.04,46.43,49.53,69.4,77.52,62.25,41.84
São Tomé and Príncipe,98,54.18,78.75,64.9,47.05,50.57,39.2,48.83,44.14,45.09,57.72,68.38,49.67,55.82
Tunisia,99,54.06,59.27,50.62,51.62,37.54,49.82,51.09,53.6,43.83,76.69,70.72,57.24,46.68
Ghana,100,53.81,66.31,62.39,53.55,52.65,44.79,56.51,43,39.14,59.35,63.6,51.51,52.93
India,101,53.64,51.84,47.59,57.11,51.9,56.74,62.55,55.4,50.32,54,66.27,48.74,41.21
Guatemala,102,53.58,60.67,52.51,39.07,51.5,50.97,51.96,55.96,49.86,60.43,69.41,46.26,54.36
Cuba,103,53.32,65.91,27.96,32.92,59.26,44.42,33.79,45.64,45.37,76.01,80.27,74.82,53.44
Rwanda,104,53.25,59.56,41.7,56.22,53.27,65.99,63.62,47.81,49.37,41.08,67.13,42.45,50.82
Lebanon,105,53,52.18,43.56,38.7,41.45,48.19,53.31,52.78,34.73,81.85,71.29,67.8,50.12
Bolivia,106,52.28,68.26,53.82,36.82,42.88,45.78,37.83,44.11,40.62,68.41,67.59,57.79,63.41
Honduras,107,52.21,56.54,49.23,35.55,52.7,50.38,48.6,50.89,45.96,63.05,71.43,46.61,55.63
Algeria,108,51.87,75.84,32.89,39.4,47.18,38.76,45.03,47.06,38.75,78.21,72.58,62.8,43.93
Turkmenistan,109,51.64,73.5,20.79,25.97,67.29,43.53,38.34,40.24,50.83,77.08,75.37,62.44,44.29
Senegal,110,51.56,63.02,60.49,52.05,56.29,46.09,54.07,42.04,40.41,54.73,61.31,32.72,55.5
Nicaragua,111,51.38,63.01,41.91,32.31,53.08,46.76,41.68,49.53,41.78,65.92,73.31,48.2,59.06
Tajikistan,112,51.26,68.53,28.14,32.86,62.6,44.95,49.98,37.5,39.02,68.43,74.05,60.48,48.62
Kenya,113,50.99,44.99,51.7,45.72,55.96,55.44,57.07,44.48,43.02,48.35,66.56,51.2,47.38
Nepal,114,50.45,68.51,57.92,45.09,50.5,43.14,47.28,35.54,46.99,51.08,65,48.38,45.97
Laos,115,49.92,75.27,26.51,35.31,50.84,38.38,48.6,46.63,46.91,55.05,64.5,52.41,58.64
Gambia,116,49.66,67.09,50.9,46.2,58.65,47.99,53.92,35.34,32.02,53.93,54.84,37.77,57.29
Tanzania,117,48.57,64.47,44.37,43.53,49.86,44.98,48.55,38.16,42.67,47.39,61.17,42.05,55.7
Cambodia,118,48.55,65.29,35.97,26.22,52.18,42.45,39.97,48.14,52.03,50.81,70.46,43.89,55.19
Djibouti,119,48.16,68.52,33.07,37.11,49.45,48.14,52.2,45.9,49.74,53.45,64.23,34.68,41.4
Iran,120,48.12,55.17,17.06,32.91,51.8,39.72,36.16,46.14,41.19,77,72.94,64.04,43.33
Egypt,121,47.98,43.68,20.87,31.71,48.06,47.15,54.47,53.96,39.83,72.57,67.51,53.76,42.23
Gabon,122,47.92,61.26,43.71,37.51,45.67,35.17,41.29,37.25,39.41,65.81,58.67,51.71,57.61
Zambia,123,47.51,66.72,41.47,43.04,49.46,47.31,52.09,33.87,31.72,41.56,60.2,41.95,60.71
Côte d'Ivoire,124,47.31,58.92,51.77,42.93,46.88,45.17,49.13,40.67,44.4,49.27,49.91,33.02,55.65
Bangladesh,125,46.91,48.97,40.69,35.01,53.62,37.47,49.4,40.46,43.96,56.7,66.85,45.4,44.46
Benin,126,46.82,73.97,57.52,45.5,39.46,38.14,55.74,34.94,37.98,41.85,53.2,33.93,49.6
Myanmar,127,46.78,37.43,37.34,35.77,57.17,32.99,52.06,38.62,43.16,50.25,67.91,50.74,57.9
Comoros,128,46.33,74.9,52.24,28.76,48.96,35.79,46.6,34.49,34.77,51.54,60.08,33.95,53.84
Papua New Guinea,129,46.07,61.95,59.72,41.49,46.87,45.06,48.27,36.16,37.85,33.08,53.96,32.73,55.63
Lesotho,130,46.06,66.12,55.67,41.36,46.66,40.02,42.56,37.37,47.05,47.27,43.56,45.6,39.5
Equatorial Guinea,131,45.77,66.32,27.97,27.71,56.71,38.6,36.34,37.9,44.9,61.46,47.43,43.03,60.89
Malawi,132,45.74,63.18,53.06,45.3,39.73,45.62,49.01,32.02,34.13,38.74,60.56,32.6,54.95
Uganda,133,45.67,53.51,38.99,38.37,48,52.72,52.27,37.16,40.44,43.7,56.63,36.74,49.52
Swaziland,134,45.66,66.22,31.64,32.62,43.99,45.93,44.25,38.99,42.86,53.89,52.95,44.9,49.65
Burkina Faso,135,44.82,53.13,58.61,42.47,50.16,39.21,46.42,29.65,39.52,41.17,57.61,26.91,53.04
Madagascar,136,44.81,61.12,53.73,38.39,51.54,41.14,45.49,31.77,37.47,30.25,56.71,35.26,54.89
Iraq,137,44.56,26.17,35.49,32.42,49.5,36.66,47.75,42.79,40.76,72.12,63.63,47.62,39.77
Pakistan,138,44.25,41.09,36.43,38.64,50.51,45.54,51.77,42.57,36.23,55.46,60.61,37.03,35.14
Guinea,139,44.03,60.81,47.65,37.1,51.12,44,54.43,30.23,35.2,40.19,47.17,23.95,56.54
Togo,140,44.03,64.77,46.39,35.74,38.42,40.6,46.98,31.24,41.03,45.27,52,38.34,47.55
Liberia,141,44.02,65.64,50.66,41.25,53.22,38.25,47.96,26.69,33.28,42.35,48.05,23.93,56.96
Mozambique,142,42.98,60.67,51.92,37.41,50.54,37.13,41.08,30.53,28.26,39.22,54.8,26.75,57.51
Zimbabwe,143,42.98,63.49,33.09,30.81,47.1,36.71,35.8,33.45,34.8,46.03,57.18,49.95,47.33
Nigeria,144,42.92,42.42,47.72,37.08,50.62,46.24,48.17,33.83,31.65,46.12,44.88,37.49,48.83
Sierra Leone,145,42.57,62.61,53.99,39.34,53.13,35.15,42.22,26.77,30.6,37.15,45.14,30.39,54.29
Venezuela,146,42.09,42.97,35.95,12.63,44.21,28.76,19.7,35.74,27.3,69.42,70.25,60.79,57.3
Guinea-Bissau,147,42.05,78.37,49.33,32.41,48.89,30.95,38.65,28.83,34.01,35.46,49.9,22.07,55.77
Mali,148,41.9,36.3,53.46,40.59,47.41,36.58,44.53,30.36,40.26,46.65,52.25,23.14,51.28
Libya,149,41.87,27.53,34.27,20.71,50.38,26.79,30.55,37.79,43.48,70.8,68.42,50.39,41.33
Ethiopia,150,41.81,52.12,33.73,37.43,49.03,35.51,42.07,28.95,41.31,41.24,59.47,31.56,49.23
Cameroon,151,41.45,35.61,35.62,29.88,48.49,36.8,43.43,34.02,40.11,50.16,48.99,41.6,52.66
Congo,152,41.21,54.7,38.05,27.57,43.24,35.86,35.19,30.36,33.26,45.35,54.97,40.22,55.8
Niger,153,41.2,49.08,51.48,38.11,55.55,40.57,44.75,25.02,37.02,33.07,53.15,17.47,49.13
Mauritania,154,40.28,66.44,34.5,27.21,50.86,32.04,35.35,26.28,35.1,52.4,56.49,26.65,40.02
Haiti,155,39.28,62.75,46.97,24.33,40.85,29.02,25.81,30.25,36.06,40.81,53.8,37.1,43.62
Angola,156,38.82,61.73,35.06,32.45,43.95,25.49,34.47,31.2,30.85,42.74,51.28,26.54,50.05
Burundi,157,37.3,37.11,25.13,28.27,43.8,36.21,50.04,28.75,29.13,28.01,58.16,33.51,49.53
Syrian Arab Republic,158,37.07,21.32,12.76,19.9,25.98,37.29,32.16,39.24,39.3,67.47,65.52,43.01,40.93
Sudan,159,36.57,31.46,23.44,19.4,45.68,38.99,41.62,33.77,24,45.1,59.46,34.25,41.64
Eritrea,160,34.94,52.5,13.21,17.5,39.55,33.28,32.81,28.69,31.28,31.41,58.94,29.66,50.45
Democratic Republic of Congo,161,34.55,32.09,36.11,23.29,41.09,28.55,38.64,22.88,28.71,28.01,51.02,31.64,52.62
Afghanistan,162,34.35,19.27,33.85,32.43,23.99,34.88,46.32,28.5,35.37,38.13,49.76,28.38,41.33
Somalia,163,34.06,34.82,28.84,18.09,47.71,36.48,32.55,32.42,26.87,36.98,46.13,21.9,45.97
Chad,164,32.51,47.17,34.58,20.97,39.05,28.81,30.79,20.75,32.72,29.32,35.52,17.94,52.49
Yemen,165,31.87,24.61,18.6,16.05,41.4,28.66,34.11,25.23,23.23,43.42,55.01,27.51,44.58
Central African Republic,166,31.36,37.52,33.46,24.47,38.68,30.82,32.01,20.06,34.48,19.08,36.13,18.24,51.39
South Sudan,167,27.89,14.46,19.34,16.3,36.87,32.43,35.42,32.21,26.96,23.73,36.89,12.44,47.62
