Country,Rank,Average Score,Safety & Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Market Access & Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
Denmark,1,83.96,92.93,92.88,88.97,77.14,81.14,84.44,77.81,74.02,97.08,82.76,87.84,70.5
Norway,2,83.96,93.84,94.56,90.38,77.49,83.29,83.54,74.77,73.17,95.84,83.37,85.99,71.27
Switzerland,3,83.64,93.97,85.98,87.35,72.42,78.71,88.17,78.15,79.56,96.36,84.16,85.69,73.2
Sweden,4,83.04,91.4,89.87,88.1,70.59,79.19,82.25,79.06,75.4,96.76,81.96,84.36,77.53
Finland,5,82.39,89.54,90.76,89.78,73.78,80.54,79.94,77.42,68.45,95.91,79.96,86.58,75.98
Netherlands,6,82.19,91.27,89.73,88.72,73.28,78.92,84.36,80.38,74.72,96.94,82.62,86.41,58.92
New Zealand,7,81.24,90.16,86.47,88.2,73.18,82.45,82.24,73.2,68.95,91.4,80.83,86.03,71.73
Germany,8,81.14,88.41,85.26,85.58,67.15,78.37,87.17,77.34,74.88,96.31,82.35,83.24,67.56
Luxembourg,9,80.95,93.24,88.11,86.62,61.82,76.69,81.71,81.86,74.08,95.67,81.44,79.2,71.02
Iceland,10,80.72,92.72,89.05,84.3,74.52,73.1,75.04,76.65,70.64,93.43,82.82,85.28,71.08
United Kingdom,11,80.7,89.56,84.47,84.59,66.58,82.07,84.98,77.68,70.92,95.78,80.54,84.88,66.39
Ireland,12,80.38,90.09,87.76,83.85,67.42,74.28,83.35,72.92,75.55,94.68,80.86,84.8,69.02
Austria,13,80.26,91.53,83.51,82.95,67.72,79,79.85,74.32,68.44,94.55,82.51,83.01,75.69
Canada,14,80.01,89.46,88.63,84.78,69.1,78.7,81.96,73.86,63.39,94.29,80.2,86.73,68.96
Hong Kong,15,79.9,92.96,66.9,81.25,58.9,81.94,90.78,81.75,73.88,94.5,83.1,87.57,65.31
Singapore,16,79.15,91.95,51.99,75.28,63.69,87.71,87.02,84.81,79.7,95.61,86.63,90.69,54.68
Australia,17,78.64,86.09,85.02,84.51,66.48,80.27,78.26,69.79,64.88,93.34,81.78,86.21,67.03
United States,18,77.75,74.38,78.71,79.03,65.83,80.4,89.51,79,69.78,90.38,74.94,85,66.09
Japan,19,77.06,91.5,72.14,80.56,44.45,78.31,83.02,74.79,67.03,93.58,86.25,86.46,66.55
Malta,20,76.4,89.34,82.79,77.51,64.57,68.69,77.27,68.89,71.2,95.31,82.05,78.44,60.8
Estonia,21,76.31,82.88,75.62,79.74,56.51,76.83,78.61,72.88,73.33,90.82,75.27,83.69,69.52
Belgium,22,76.26,84.84,84.4,80.82,55.01,73.44,80,74.62,64.52,93.86,80.53,83.57,59.58
France,23,76.26,84.41,77.14,79.09,56.02,78.02,76.45,74.79,63.51,93.86,81.89,81.23,68.71
Taiwan,24,74.83,91.7,74.6,76.03,54.22,77.62,82.27,70.59,67.72,86.95,79.37,81.61,55.23
Spain,25,74.79,83.42,82.56,73.83,58.65,72.62,75.23,72.95,58.29,94.37,82.07,82.88,60.65
Portugal,26,73.75,86.38,86.09,75.02,53.91,70.16,75.25,72.47,57.91,91.29,79.4,77.3,59.83
Slovenia,27,73.66,87.68,74.49,67.59,56.43,66.08,68.23,70.6,65.05,91.86,79.22,82.84,73.84
Czech Republic,28,73.43,89.14,71.66,70.32,47.1,72.72,70.36,68.74,72.52,89.91,79.77,81.78,67.19
South Korea,29,73.04,82.22,64.41,70.33,42.48,76.82,70.8,73.71,73.38,91.56,84.16,89.44,57.16
Italy,30,71.68,86.41,74.17,63.8,53.3,66.17,76.65,69.27,57.16,91.61,81.83,80.29,59.56
Israel,31,70.9,57.17,58.51,78.59,53.11,78.32,76.85,69.64,69.65,93.3,82.37,82.43,50.88
Slovakia,32,70.25,86.03,69.87,62.45,50.93,70.65,63.46,64.8,64.74,89.64,77.11,73.58,69.74
Lithuania,33,70.16,85.34,68.14,67.54,42.64,69.98,69.81,68.3,64.17,87.69,70.94,81.66,65.71
Cyprus,34,69.99,80.22,76.42,67.86,50.51,64.38,68.16,69.59,57.74,90.32,79.69,78.41,56.54
Latvia,35,69.94,82.32,68.11,64.89,45.07,68.42,69.5,67.48,64.27,87.57,71.34,80.56,69.8
Poland,36,69.3,88.36,60.17,63.95,47.13,67.71,71.22,65.14,62.92,89.94,77.49,78.94,58.65
Chile,37,68.7,72.48,74.48,70.88,52.36,67.99,68.42,68.79,57.54,85.62,73.1,73.9,58.87
Costa Rica,38,67.66,77.19,79.21,67.49,54.13,61.74,64.5,58.36,53.39,82.03,78.62,71.46,63.83
Uruguay,39,67.61,80.63,82.39,70.36,52.88,65.35,58.02,58.65,50.82,84.69,78.86,69.45,59.25
United Arab Emirates,40,67.41,77.15,32.95,59.8,61.85,71.94,77.17,74.19,68.87,86.89,76.14,72.73,49.2
Malaysia,41,66.62,69.82,40.01,56.13,58.74,72.04,75.85,67.14,66.19,79.76,77.62,74.86,61.3
Greece,42,66.51,80.38,65.35,62.13,46.97,52.4,70.69,68.06,44.77,87.68,79.06,75.3,65.31
Qatar,43,66.45,89.78,33.75,55.79,61.22,63.29,74.43,69.86,68.31,86.36,76.07,66.74,51.87
Mauritius,44,66.41,81.56,68.56,66.37,57.24,68.23,65.8,59.07,53.61,81.35,75.36,67.91,51.89
Croatia,45,66.19,84.23,63.61,59.25,44.09,61.53,53.12,67.79,58.26,89.15,75.02,73.64,64.55
