Country,Rank,Average Score,Safety & Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Market Access & Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
Hungary,46,65.93,81.11,53.21,50.86,49.48,64.34,61.2,63.66,64.95,88.14,75.43,74.04,64.72
Romania,47,64.59,80.99,60.87,59.06,46.82,68.14,56.94,61.41,60.8,79.82,73,68.51,58.73
Seychelles,48,64.34,76.47,59.57,56.38,56.92,60.11,61.83,60.28,59.24,78.42,77.87,66.34,58.65
Bulgaria,49,64.08,73.48,58.88,54.98,46.13,60.64,62.19,58.89,64.12,83.84,74.02,74.78,56.98
Montenegro,50,63.57,78.57,61.08,57.63,51.33,63.14,62.54,60.6,48.37,83.35,71.1,72,53.14
Panama,51,63.29,77.34,63.72,54.51,51.92,60.33,55.54,61.2,59.79,76.61,76.78,59.13,62.59
Serbia,52,62.07,80.06,55.7,51.32,48.47,57.23,59.53,57.11,49.85,84.43,72.98,74.55,53.58
Georgia,53,61.71,71.63,61.67,58.38,46.13,67.59,63.64,60.99,48.49,71.5,71.22,71.49,47.84
Macedonia,54,61.1,71.94,54.07,51.87,50.11,61.78,61.46,55.74,49.92,83.66,75.05,61.12,56.49
Trinidad and Tobago,55,61.03,72.34,68.05,55.37,51.15,54.96,52.49,53.82,51.91,82.58,72.44,66.23,51.06
Peru,56,61.03,71.49,64.68,52.18,42.35,61.56,57.49,51.93,53,69.51,74.92,67.27,66
China,57,60.76,65.83,19.97,46.88,57.25,63.26,69.36,60.42,68.38,79.72,80.86,70.83,46.31
Bahrain,58,60.61,58.79,25.91,47.15,63.26,63.84,65.2,68.48,53.32,88.25,75.37,68.9,48.9
Argentina,59,60.47,68.28,74.08,56.22,47.01,53.37,48,48.07,42.19,80.79,76.3,71.96,59.35
Oman,60,60.3,81.63,31.82,47.87,58.14,60.87,63.52,64.95,51.32,79.92,74.8,65.14,43.67
Armenia,61,60.14,71.48,53.92,50.12,50.94,61.34,60.51,54.15,44.33,76,73.65,72.29,52.97
Kuwait,62,60.08,72.03,41.45,46.78,54.18,54.86,54.27,60.48,60.15,88.83,75.46,61.13,51.36
Indonesia,63,60.01,67.58,48.59,54.45,73.43,60.2,60.24,48.43,54.1,65.37,69,60.96,57.72
Jamaica,64,59.86,62.75,70.15,56.28,49.83,60.22,59.61,51.71,41.6,79.51,75.46,62.92,48.29
Albania,65,59.83,73.32,56.96,51.34,46.25,58.64,58.57,55.98,41.45,72.34,73.22,72.68,57.23
Thailand,66,59.53,57.33,39.95,44.59,58.95,61.02,56.03,59.91,65.18,77.02,78.75,63.61,52.03
Mexico,67,59.53,48.83,59.09,48.63,46.39,60.07,56.49,60.34,59.21,75.7,78.22,64.86,56.54
Kazakhstan,68,59.12,69.52,32.88,47.63,51.46,62.09,57.31,52.18,56.95,81.12,71.81,77.45,48.97
Brazil,69,59.08,64.71,65.42,52.84,44.27,57.45,51.52,48.6,42.72,79.84,74.96,59.83,66.76
Bosnia and Herzegovina,70,58.15,76.87,52.91,45.21,49.57,53.3,49.36,50.81,47.84,84.2,70.42,66.65,50.66
Saudi Arabia,71,57.94,62.11,20.73,47.83,55.14,58.38,66.19,62.03,54.71,81.15,73.3,66.33,47.45
Colombia,72,57.91,39.33,57.24,52.09,48.41,58.03,56,53.82,48.72,75.04,76.98,64.94,64.35
Belarus,73,57.85,71.44,30.73,40.59,42.39,54.16,53.64,53.25,55.24,85.14,72.49,79.77,55.39
Russia,74,57.72,49.89,31.7,45.59,47.94,55.82,54.93,53.55,59.7,81.31,68.31,83.5,60.38
Sri Lanka,75,57.49,59.37,54.39,50.7,59.99,48.99,60.42,45.84,42.13,67.03,75.55,66.46,59.07
Botswana,76,57.49,70.18,61.02,60.16,49.78,57.2,56.82,45.71,58.48,60.79,62.09,54.12,53.54
Cabo Verde,77,57.36,76.1,70.55,54.58,54.69,44.84,51.38,38.54,42.47,67.13,72.25,52.99,62.78
Dominican Republic,78,57.33,60.15,62.09,46.52,50.44,53.27,52.54,52.68,50.59,73.3,71.52,56.74,58.16
Paraguay,79,57.17,72.01,56.23,46.61,53.7,52.18,41.81,46.79,48.45,76.82,72.08,52.58,66.75
Ecuador,80,56.76,71.49,60.57,44.06,49.29,49.41,42.31,49.54,42.86,72.7,74.15,65.93,58.86
Moldova,81,56.74,70.06,50.12,47.93,47.59,53.9,51.22,54.42,41.61,77.02,69.19,68.87,48.93
Suriname,82,56.7,75.91,63.41,48.18,52.04,37.73,48.37,46.51,43.26,77.12,66.96,54.07,66.9
South Africa,83,56.65,53.25,69.07,58.5,54.74,57.92,63.1,50.31,50.2,65.22,57.84,52.09,47.53
Philippines,84,56.49,43.06,58.82,49.01,59.32,52.65,56.74,52.47,55.14,59.78,68.7,62.85,59.33
Vietnam,85,56.48,68.19,32.86,43.47,58.27,46.07,51.25,53.29,54.51,73.46,77.29,64.49,54.57
Jordan,86,56.41,69.48,39.16,50.3,47.41,61,60.87,54.23,39.79,80.39,72.23,57.57,44.54
Mongolia,87,56.19,73.92,59.58,54.24,52.08,48.45,52.88,36.89,43.8,65.29,68.84,68.93,49.37
Kyrgyzstan,88,56.18,72.69,49.32,45.58,56.57,50.68,50.65,37.28,45.42,71.61,71.27,64.31,58.72
Namibia,89,56.11,75.11,63.13,61.53,52.71,54.62,53.82,47.74,42.26,60.17,60.23,45.12,56.84
Guyana,90,55.93,70.69,59.52,49.69,50.81,51.58,50.49,43.38,39.88,75.34,63.93,58.71,57.17
Turkey,91,55.42,42.96,30.14,43.76,42.04,62.6,61.01,58.93,51.36,82.49,74.04,63.57,52.11
Azerbaijan,92,55.22,65.85,27.04,43.04,45.77,60.25,61.54,53.32,43.92,77.74,73.66,64.6,45.88
Sao Tome and Principe,93,55.2,81.57,65.13,49.57,52.49,40.82,53,38.06,45.89,58.33,67.76,51.06,58.78
Belize,94,55.08,71.57,60.48,46.79,45.18,41.76,48.92,43.94,41.45,74.12,69.66,56.29,60.75
Tunisia,95,54.71,61.56,53.36,53.34,42.65,50.93,50.91,49.9,42.41,76.73,70.4,57.84,46.51
Ukraine,96,54.5,46.18,53.71,48.62,41.91,45.58,57.03,48.43,42.91,77.76,64.76,77.49,49.65
Cuba,97,54.45,67.59,26.38,38.5,54.86,52.8,37.09,44.06,45.63,75.77,79.9,76.32,54.49
El Salvador,98,54.16,59.73,58.74,49.28,48.17,52.82,53.07,46.7,44.24,71.86,71.42,50.71,43.25
Guatemala,99,54.11,63.55,54.59,44.29,52.36,52.81,50.17,52.31,48.76,60.57,68.88,46.15,54.9
Morocco,100,53.92,74.95,40.16,46.25,35.54,58.87,54.16,56.8,44.32,71.44,66.54,46.63,51.34
India,101,53.77,53.75,49.22,59.7,50.91,54.53,67.63,48.8,48.36,55.1,66.6,49.99,40.63
Ghana,102,53.74,66.83,64.15,56.03,52.76,47.92,57.43,38.26,35.34,58.75,63.6,50.25,53.53
Uzbekistan,103,53.53,73.32,29.73,33.86,61.57,53.21,45.71,43.01,52.08,67.84,77.33,63.34,41.42
Lebanon,104,52.86,47.4,46.58,40.86,42.07,48.94,55.95,49.7,37.04,83.62,72.07,61.78,48.25
Bolivia,105,52.74,71.14,57.32,40.41,46.31,45.1,39.12,37.57,39.41,68.48,66.92,57.73,63.4
Rwanda,106,52.71,61.76,41.53,53.56,51.59,65.59,63.12,41.54,47.43,43,67.52,42.08,53.76
Honduras,107,52.28,57.09,50.44,40.25,52.34,51.73,49.31,43.57,43.84,63.06,71.95,47.45,56.28
Turkmenistan,108,51.67,70.8,18.65,31.71,56.45,52.79,43.13,39.75,52.93,74.63,74.56,64.28,40.4
Nicaragua,109,51.58,66.32,42.92,38.33,47.58,48.01,43.72,44.27,41.23,66.92,72.32,48.72,58.63
Algeria,110,51.48,76.25,34.12,42.47,41.86,38.56,43.23,42.49,38.33,77.28,72.93,61.01,49.26
Senegal,111,51,66.81,60.41,54.5,53.8,42.95,53.52,34.88,39.87,57.02,60.95,33.83,53.44
Gabon,112,50.73,66.42,43.32,39.89,42.16,45.65,51.2,39.96,42.56,65.37,58.35,55.14,58.72
Kenya,113,50.54,44.92,47.72,47.95,55.09,59.15,57.64,41.37,37.5,49.27,64.49,51.87,49.51
Tajikistan,114,50.28,69.74,28.56,37.13,59.01,44.71,48.15,33.37,33.97,66.93,72.63,60.58,48.63
Nepal,115,49.53,71.06,59.46,44.66,49.47,42.03,46.22,27.88,44.68,51.67,63.01,45.93,48.33
Laos,116,49.08,73.5,28.3,38.69,47.81,38.66,48.72,38.07,48.12,53.7,60.87,51.69,60.8
Equatorial Guinea,117,48.86,70.09,26.8,40.2,52.37,43.67,48.48,38.39,52.67,62.95,45.62,42.94,62.07
Zambia,118,48.5,69.59,46.17,46.26,50.68,46.53,54.63,28.83,32.13,43.21,59.51,42.84,61.61
Iran,119,48.31,56.79,16.91,38.27,45.17,42.73,39.39,39.71,42.85,77.08,71.31,65.5,44.08
Tanzania,120,48.02,64.36,45.81,46.48,48.01,44.07,49.33,33.43,41.01,46.97,60.68,38.2,57.92
Djibouti,121,47.88,64.66,34.77,41.28,47.66,49.86,52.64,39.3,48.47,52.83,62,34.44,46.65
Cambodia,122,47.84,64.31,36.1,29.46,49.75,42.76,41.16,43.3,48.56,50.29,68.88,43.61,55.92
Papua New Guinea,123,47.51,66.15,61.4,43.54,46.15,45.81,49.9,33.66,42.6,35.76,52.15,35.33,57.65
Myanmar,124,47.28,38.77,35.54,37.62,58.18,36.03,50.82,39.92,43.75,49.47,66.93,50.66,59.71
Gambia,125,46.97,69.59,43.76,43.69,55.2,44.39,47.31,31.64,29.95,51.51,53.71,37.49,55.45
Egypt,126,46.56,41.32,19.08,36.12,45.46,47.05,53.9,47.38,34.97,73.39,66.2,51.1,42.76
Bangladesh,127,46.47,48.54,40.77,39.12,50.84,36.72,52.42,36.12,40.76,56.46,65.67,44.28,45.87
Malawi,128,46.35,69.1,55.54,47.37,39.76,44,49.1,30.96,36.47,37.52,57.13,31.61,57.62
Comoros,129,45.98,78.99,52.25,38.38,47.69,33.79,45.67,27.26,34.5,50.5,57.87,31.58,53.22
Ivory Coast,130,45.95,56.73,50.55,44.43,41.45,45.15,49.6,35.89,44.67,48.95,48.62,31.21,54.1
Benin,131,45.87,73.19,59.46,47.31,37.29,35.92,51.22,32.2,36.08,42.83,52.52,31.21,51.17
Swaziland,132,45.75,68.9,29.36,38.65,44.18,48.08,46.43,35.89,41.12,54.61,52.38,41.1,48.31
Lesotho,133,45.59,67.36,53.58,44.88,45.62,41.01,47.03,34.6,41.04,44.22,42.68,43.61,41.49
Burkina Faso,134,45.17,63.14,60.68,44.12,45.9,39.79,48.61,24.96,35.64,42.39,56.08,26.99,53.68
Uganda,135,45.15,54.91,40.76,41.98,43.08,53.86,54.66,30.72,37.91,43.25,54,36.64,50.02
Liberia,136,44.38,70.73,52.93,44.69,52.7,38.95,48.71,20.58,32.43,40.95,45.45,25.95,58.51
Madagascar,137,43.63,63.6,53.19,39.95,47.4,40.54,43.34,27.79,36.79,27.6,55,32.77,55.6
Guinea-Bissau,138,43.49,77.07,49.87,36.58,48.31,31.95,45.31,25.94,38.29,36.21,50.13,24.3,57.95
Zimbabwe,139,43.1,66.34,37.12,31.74,47.14,34.93,35.28,26.93,34.36,50.23,57.5,46.13,49.55
Pakistan,140,43.09,37.04,38.17,41.46,49.65,45.82,46.24,34.05,36.57,54.91,59.93,38.23,35.09
Guinea,141,43.07,60.51,47.82,39.09,49.22,43.43,52.41,25.13,31.4,39.43,46.52,22.33,59.5
Iraq,142,42.96,22.62,33.1,35.81,49.21,35.59,44.7,37.93,42.04,69.72,61.24,44.4,39.1
Venezuela,143,42.82,45.51,35.99,17.99,43.91,31.06,21.72,34.67,24.47,69.77,72.49,58.61,57.63
Togo,144,42.69,64.95,44.73,38.19,34,36.49,44.34,26.03,40.36,45.73,51.88,37.61,47.93
Mozambique,145,42.62,66.18,53.76,40.47,48.69,36.96,40.33,25.77,22.45,38.97,53.22,26.74,57.87
Sierra Leone,146,42.26,66.79,53.58,42.02,53.95,35.27,41.15,23.4,28.03,35.97,42.17,29.38,55.37
Libya,147,42.08,31.15,33.44,28.89,46.93,30.4,32.77,32.23,38.01,71.65,68.38,50.19,40.93
Nigeria,148,41.99,36.68,48.92,40.33,52.03,44.44,45.34,28.81,30.18,46.04,43.35,35.99,51.79
Mali,149,41.72,40.31,54.17,43.96,44.8,36.82,44.9,25.96,40.85,44.14,49.58,21.72,53.49
Ethiopia,150,41.14,51.18,26.91,36.12,46.81,38.13,41.28,28.13,37.71,42.36,58.1,35.58,51.38
Niger,151,41,53.84,52.75,41.72,50.37,35.83,44.4,23.14,37.67,34.83,50.72,16.22,50.45
Cameroon,152,40.96,37.61,36.79,32.12,44.16,37.53,43.95,28.38,40.59,48.95,46.37,42.23,52.82
Haiti,153,40.06,67.58,48.45,33.25,40.66,28.85,26.21,24.31,32.93,40.68,52.81,41.48,43.56
Congo,154,39.91,51.42,37.74,32.9,38.04,34.6,34.04,26.67,27.38,45.02,53.81,40.82,56.45
Mauritania,155,38.56,65.45,31.73,28.78,40.25,29.84,35.65,23.02,34.36,52.31,56.17,24.5,40.64
Angola,156,38.14,62.23,34.15,34.01,40,23.55,32.9,26.4,34.56,42.89,50.04,25.9,50.98
Syrian Arab Republic,157,37.66,25.48,12.46,25.38,22.27,37.17,33.73,38.71,39.38,67.69,65.94,41.93,41.78
Sudan,158,36.68,30.81,16.05,28.89,43.44,40.46,43.13,29.8,26.68,45.37,57.94,33.6,44.03
Burundi,159,36.21,35.85,23.81,31.86,41,33.54,49.28,25.44,28.51,28.53,56.48,30.25,49.95
Eritrea,160,35.55,48.08,11.32,25.08,40.61,34.54,33.79,22.69,31.9,39.68,60.31,25.59,53.01
Somalia,161,33.96,40.78,28.31,24.93,47.24,28.19,30.94,19.4,27.17,40.82,44.18,24.91,50.61
Democratic Republic of Congo,162,33.6,33.25,32.52,25.1,38.74,28.23,34.1,18.21,30.81,28.93,48.49,31.88,52.97
Afghanistan,163,33.46,20.86,34.42,33.94,23.64,33.21,37.92,21.75,40.17,38.54,49.85,26.04,41.22
Chad,164,32.88,47.96,37.1,26.56,33.59,29.94,30.01,17.81,33.3,29.83,34.93,18.62,54.86
Central African Republic,165,31.72,35.2,34.42,29.84,37.02,28.25,31.68,20.91,33.18,21.19,35.7,19.08,54.12
Yemen,166,31.14,25.23,16.65,24.66,38.42,29.07,32.3,20.71,19.92,43.96,51.55,26.56,44.6
South Sudan,167,29.76,19.2,19.52,27.41,35.69,32.44,37.15,25.88,28.33,27.75,34.04,15.22,54.52
