Country,Rank,Average Score,Safety & Security,Personal Freedom,Governance,Social Capital,Investment Environment,Enterprise Conditions,Market Access & Infrastructure,Economic Quality,Living Conditions,Health,Education,Natural Environment
Georgia,53,62.28,68.83,64.67,58.19,55.04,63.84,59.46,62.98,48.31,74.45,71.34,70.15,50.15
China,54,62.23,68.24,28.17,45.95,58.05,62.11,66.51,68.67,66.6,82.31,82.84,69.59,47.74
Armenia,55,61.93,74.18,60.54,52.9,51.47,59.87,62.1,58.91,48.44,77.65,74.47,68.98,53.67
Bahrain,56,61.31,65.76,30.34,41.16,64.66,67.89,66.36,73.28,49.16,86.3,75.36,68.6,46.85
Argentina,57,61.16,70.43,77.57,55.93,51.26,53.46,46.95,54.35,36.14,80.64,77.19,71.4,58.57
Kuwait,58,61.15,77.13,44.37,45.46,55.79,56.24,57.42,63.93,57.21,87.77,76.87,64.04,47.62
Trinidad and Tobago,59,61.04,70.03,70.19,56.49,50.15,52.29,46.49,61.33,49.1,82.43,74.12,66.01,53.83
Macedonia,60,61.01,76.25,62.1,49.53,50.61,59.97,55.09,58.65,49.97,81.96,73.9,60.34,53.73
Peru,61,60.81,66.62,66.71,50.87,43.26,58.99,57.43,57.7,52.72,68.3,76.39,66.75,63.96
Indonesia,62,60.61,68.52,53.24,52.63,66.27,58.86,58.51,60.55,55.66,64.77,72.68,60.58,55.07
Thailand,63,60.51,60.38,45.78,41.92,60.37,60.64,56.13,67.3,64.15,75.32,79.37,63.61,51.2
Kazakhstan,64,60.41,68.09,39.63,43.51,56.62,59.7,55.54,57.57,59.5,81.81,73.81,78.61,50.5
Jamaica,65,60.35,60.64,74.41,57.28,50.55,58.91,57.57,57.17,44.34,78.86,74.87,60.19,49.45
Belarus,66,60.11,74.91,36.94,41.07,47.86,51.22,53.08,59.37,58.2,86.05,75.33,80.73,56.52
Oman,67,59.91,81.53,34.67,45.94,58.77,61.34,62.52,65.16,47.47,78.12,75.21,63.64,44.57
Brazil,68,59.57,61.25,66.96,51.8,48.44,56.18,47.83,54.91,47.95,80.42,72.02,59.27,67.83
Albania,69,59.54,73.09,59.78,47.94,44.92,52.37,56.71,60.95,41.81,73.94,73.84,70.91,58.27
Russia,70,59.31,50.99,40.38,41.42,54.01,54.38,54.96,63.09,62.57,79.45,71.64,82.78,56.07
Mexico,71,59.15,43.87,61.62,46.16,47.27,59.47,56.22,66.53,59.44,75.01,72.68,64.53,57.04
Moldova,72,58.97,69.95,57.88,45.9,56.67,52.5,52.15,57.09,46.48,78.73,72.33,68.91,49.03
Dominican Republic,73,58.7,61.66,68.71,44.76,52.78,52.59,53.38,59.82,50.06,73.62,72.14,56.29,58.59
Vietnam,74,58.69,67.71,40.1,44.33,63.94,44.92,54.55,62.96,58.06,71.84,76.48,66.64,52.71
Saudi Arabia,75,58.59,63.72,25.8,44.58,57.25,59.4,65.95,69.32,51.79,77.55,74.49,67.18,46.07
Bosnia and Herzegovina,76,58.04,78.44,60.71,39.45,51.49,52.2,40.73,56.96,48.03,84.04,70.05,65.32,49.08
Colombia,77,58.04,37.23,62.24,49.88,50.31,57.18,50.87,59.73,48.21,73.44,78.75,64.3,64.31
Ukraine,78,57.85,52.99,61.23,48.47,50.71,42.58,55.73,58.47,48.78,76.54,68.66,77.74,52.36
Paraguay,79,57.49,71.96,61.89,44.27,54.61,52.34,43.49,50.15,49.67,76.23,71.43,50.78,63.01
Cabo Verde,80,57.42,81.5,72.33,60.3,53.43,45.1,50.42,39.84,37.27,66.54,71.88,55.37,55.02
Jordan,81,57.24,69.4,43.4,48.22,47.6,61.59,63.48,57.86,40.47,80.48,72.93,56.22,45.22
Botswana,82,57.15,71.77,65.07,64.26,49.91,57.04,54.62,46.78,56.84,59.54,59.53,53.72,46.65
Ecuador,83,56.83,67.97,64.75,44.15,47.46,49.9,46.15,57.08,39.84,69.82,72.91,62.05,59.85
Philippines,84,56.75,44,59.9,45.55,58.4,53.96,54.15,57.84,58.07,62.33,69.66,61.26,55.83
South Africa,85,56.69,51.02,73.13,58.9,57.6,57.93,57.76,56.09,49.59,65.73,56.56,49.82,46.12
Azerbaijan,86,56.6,64.6,35.37,36.86,51.44,59.36,64.99,59.26,47.28,79.34,73.38,62.74,44.52
Mongolia,87,56.53,74.71,63.95,51.14,55.67,45.97,49.96,42.02,46.29,65.11,67.72,70.32,45.48
Sri Lanka,88,56.51,55.44,54.71,48.66,55.83,46.71,54.39,52.91,41.64,67.25,77.31,65.23,58.1
Suriname,89,56.44,75.42,66.9,46.33,53.26,36.54,45.42,51.21,43.55,75.98,63.95,52.32,66.43
Kyrgyzstan,90,56.14,72.43,53.49,41.98,53,48.4,49.37,44.2,44.73,75.65,73.4,61.89,55.18
Morocco,91,55.97,75.02,45.7,46.13,39.13,59.26,55.58,63.95,45.08,70.9,71.66,49.52,49.71
Namibia,92,55.87,74.66,65.82,59.79,51.44,53.11,56.14,49.32,40.25,55.98,59.94,48.87,55.07
Turkey,93,55.68,44.09,33.02,37.55,44.78,59.39,58.86,64.92,51.97,81.06,75.09,62.93,54.46
Guyana,94,55.67,67.54,62.25,49.08,51.92,46.1,47.18,43.25,48.95,73.58,62.88,57.06,58.31
Belize,95,55.07,69.06,65.77,45.31,46.45,40.68,46.34,50.88,36.31,72.99,72.43,55.56,59.03
Tunisia,96,54.95,58.9,55.44,53.96,40.31,48.31,54.07,54.92,41.43,77.15,71.39,56.49,46.97
El Salvador,97,54.9,58.56,62.38,48.7,49.24,52.01,52.81,56.82,42.5,69.91,69.69,49.24,46.97
São Tomé and Príncipe,98,54.71,78.79,67.81,50.67,51.19,39.18,48.41,41.43,48.11,56.38,70.49,48.78,55.28
Ghana,99,54.03,68.76,66.83,54.13,51.43,45.37,56.62,43.82,37.6,59.23,64.2,48.71,51.65
Uzbekistan,100,53.92,76.23,34,33.3,60.96,50.48,49.37,48.59,48.53,66.29,76.28,62.65,40.3
India,101,53.57,50.67,51.75,57.35,53.35,55.1,61.44,57.63,47.04,54.02,67.07,46.41,40.98
Cuba,102,53.57,65.9,33.74,35.68,59.31,47.35,33.35,47.6,41.17,74.51,79.04,70.1,55.03
Guatemala,103,53.3,60.67,56.44,37.63,52.54,51.05,49.53,55.14,49.52,59.93,68.15,44.47,54.58
Rwanda,104,52.9,58.38,44.63,55.86,53.17,64.14,65,46.47,48.7,40.49,65.25,40.94,51.82
Senegal,105,52.55,68.66,63.7,53.8,56.05,46.27,53.89,41.59,39.64,53.39,63.41,34.94,55.25
Bolivia,106,52.23,65.05,58.53,38.52,46.9,46.18,37.94,44.9,40.47,66.02,65.95,55.85,60.48
Algeria,107,52.19,75.23,39.56,39.64,47.04,37.95,44.44,48.77,37.83,76.62,72.47,61.87,44.89
Turkmenistan,108,52.04,71.76,26.11,24.37,66.82,45.67,38.98,41.73,51.53,78,74.9,62.07,42.57
Lebanon,109,51.93,54.61,51.07,37.37,31.36,47.56,54.66,50.91,31.33,77.31,69.66,66.11,51.18
Tajikistan,110,51.88,69.33,34.66,32.64,63.02,43.96,51.58,37,43.08,68.36,71.53,61.21,46.18
Honduras,111,51.79,55.7,54.05,34.6,53.08,50.66,47.19,49.51,43.86,62.3,68.68,45.05,56.79
Kenya,112,51.09,46.04,54.27,45.44,52.5,54.78,56.32,48.02,45.12,47.72,64.62,49.55,48.76
Nicaragua,113,50.88,62.03,49.26,29.91,50.77,45.66,42.05,46.28,40.89,65.79,72.96,46.28,58.68
Nepal,114,50.22,66.94,61.21,45.92,49.09,42.81,46.08,34.15,45.79,52.21,64.12,48.14,46.15
Laos,115,50.13,74.52,31.82,35.06,50.36,36.79,48.62,47.46,47.33,56.79,64.56,50.91,57.36
Gambia,116,50.08,69.13,53.65,49.81,57.3,46.18,52.66,34.76,34.24,53.48,56.13,37.69,55.94
Tanzania,117,49.54,63.4,47.64,45.29,53.72,45.06,49.28,38.39,47.02,47.67,60.82,39.4,56.75
Cambodia,118,49.15,66.5,39.08,24.4,53.14,41.49,41.93,48.13,51.78,53.21,71.22,44.05,54.92
Benin,119,48.58,74.48,59.73,49.99,42.85,38.68,54.77,35.6,39.58,43.34,56.65,37.31,49.97
Côte d'Ivoire,120,48.52,58.11,54.18,44.01,45.73,44.87,50.32,41.79,47.32,50.92,53.47,37.52,54.03
Egypt,121,48.44,43.56,26.61,32.9,44.68,48.12,56.05,56.26,38.46,71.49,67.18,51.84,44.12
Djibouti,122,48.18,68.55,38.98,38.32,46.77,46.36,50.87,43.63,47.75,54.04,62.44,36.34,44.09
Iran,123,48.05,54.94,21.84,30.85,51.62,39.8,35.22,46.87,37.59,76.57,74.75,63.85,42.68
Zambia,124,47.95,66.36,48.79,43.27,51.73,46.19,51.58,35.09,29.4,43.28,59.82,40.7,59.23
Gabon,125,47.5,64.77,47.06,37.11,42.23,32.33,38.64,34.93,41.22,64.14,56.83,54.71,55.99
Bangladesh,126,47.32,49.88,43.05,34.1,51.85,37.41,48.88,42.98,44.23,57.96,68.98,44.4,44.08
Uganda,127,46.78,54.48,44.85,38.47,48.64,52,51.29,37.47,41.37,44.85,58.17,39.02,50.77
Papua New Guinea,128,46.74,62.26,61.81,39.67,52.32,44.63,48.23,34.21,39.81,32.3,54.22,34.81,56.59
Malawi,129,46.6,63.88,57.21,47.44,39.97,45.97,48.89,34.31,37.78,36.14,60.54,30.62,56.41
Comoros,130,46.54,75.02,55.07,29.49,48.7,33.01,46.02,35.28,36.42,47.17,59.75,36.65,55.89
Swaziland,131,46.32,67.98,35.11,34.66,44.13,45.25,44.47,41.48,42.46,53.88,48.95,49.22,48.19
Equatorial Guinea,132,46.29,66.98,33.42,26.63,55.2,36.5,35.17,37.16,48.4,60.4,50.48,44.83,60.28
Myanmar,133,45.62,36.14,43.97,37.81,57.05,25.51,41.12,35.93,45.12,51.12,67.72,49.07,56.9
Burkina Faso,134,45.15,48.66,63.16,44.08,51.49,39.39,45.68,27.78,40.99,37.95,59.06,28.63,54.95
Lesotho,135,44.8,64.82,58.48,43.7,46.06,38.29,41.86,35.11,39.01,46.14,40.66,44.62,38.86
Madagascar,136,44.5,60.11,56.16,38.27,51.1,39.67,44.63,29.98,38.69,30.72,55.5,33.29,55.92
Togo,137,44.37,64.52,52.54,35.17,38.76,39.22,46.45,31.46,36.44,42.88,54.86,40.76,49.4
Pakistan,138,44.13,41.92,42.48,38,46.66,45.32,48.59,42.66,37.68,57.89,59.55,35.18,33.67
Liberia,139,44.11,63.36,54.12,42.22,53.17,36.94,46.58,23.67,36.17,41.43,49.08,24.77,57.86
Guinea,140,43.92,59.83,48.08,38.24,49.22,43.08,55.19,30.59,32.04,37.99,50.42,26.64,55.77
Iraq,141,43.85,25.77,38.62,33.95,44.64,37.18,45.91,43.8,38.08,70.59,65.51,46.12,36.07
Zimbabwe,142,43.62,61.41,39.35,30.43,45.62,36.84,36.63,34.66,35.83,46.15,54.8,52.28,49.41
Nigeria,143,43.02,38.56,51.88,36.4,50.1,45.23,46.52,32.89,33.59,46.14,49.12,35.68,50.17
Sierra Leone,144,42.93,63.96,57.15,41.5,53.44,32.9,41.4,22.13,32.64,36.1,48.41,31.98,53.53
Ethiopia,145,42.76,46.91,42.32,39.2,52.47,34.14,41.53,30.93,42.48,41.4,59.81,30.62,51.26
Mozambique,146,42.67,59.07,54.55,38.53,49.96,37.59,38.14,33.09,28.35,34.11,53.13,26.79,58.77
Venezuela,147,42.62,41.4,40.63,12.41,44.2,27.89,19.88,38.96,27.48,68.82,70.48,61.67,57.61
Niger,148,42.07,48.63,56.25,39.22,56.37,38.94,45.85,22.84,38.89,32.46,54.11,19.69,51.56
Cameroon,149,41.83,35.08,40.12,29.28,48.77,35.64,42.94,34.66,42.68,46.15,50.71,43.79,52.19
Guinea-Bissau,150,41.75,78.7,52.68,33.35,49.2,29.6,36.4,27.51,33.33,31.08,51.24,23.73,54.13
Mali,151,41.57,34.71,56.09,40.52,43.25,36.67,43.78,29.47,39.36,43.72,54.43,24.89,52
Congo,152,41.05,52.72,42.72,26.3,41.9,32.76,34.3,30.98,31.43,46.49,54.82,43.47,54.65
Mauritania,153,40.9,66.15,39.17,27.98,50.97,30.32,34.99,26.2,36.97,52.28,58.01,28.06,39.74
Libya,154,40.9,28.7,40.46,22.98,47.01,22.51,25.03,36.81,37.87,70.32,67.45,50.29,41.37
Haiti,155,39.65,59.59,51.7,24.82,39.68,28.51,24.86,27.4,36.52,41.66,52.66,42.33,46.03
Angola,156,39.13,61.39,40.18,33.81,44.11,22.79,33.34,31.62,31.44,42.35,50.29,27.7,50.5
Burundi,157,38.47,39.74,32.04,28.56,45.12,35.5,49.28,27.88,28.57,29.17,57.84,34.17,53.81
Syria,158,37.09,24.48,20.04,18.96,22.64,34.9,29.86,35.21,40.38,67.28,67.1,42.38,41.85
Sudan,159,36.98,32.06,31.67,22.59,43.66,36.85,41.41,31.08,22.68,47.16,60.93,32.92,40.78
Democratic Republic of Congo,160,35.11,32.6,42.72,23.32,40.06,25.41,34.28,23.07,32.47,32.81,48.65,32.44,53.44
Somalia,161,35.07,34.36,36.47,19.67,46.94,33.15,33.32,28.55,25.48,35.56,43.26,36.25,47.78
Eritrea,162,34.64,52.54,19.29,19.32,38.65,30.55,33.89,22.84,32.05,30.09,57.5,28.16,50.8
Afghanistan,163,33.71,19.71,41.21,31.18,22.32,30.07,42.91,25.37,33.79,38.92,50.98,27.58,40.48
Chad,164,33.46,48.87,39.86,20.96,39.56,27.65,32.06,18.79,34.97,27.71,37.7,19.56,53.87
Yemen,165,33.33,26.48,22.95,17.41,41.2,27.49,34.39,28.35,26.05,44.57,57.02,28.72,45.34
Central African Republic,166,32.19,38.32,36.74,26.6,38.5,27.23,33.21,18.27,40.17,21.12,32.81,19.46,53.89
South Sudan,167,28.7,16,26.77,17.77,36.17,31.43,37.72,22.11,32.18,22.93,35.54,15.3,50.45
